Date,P_wp,P_eaf,COE_agora,f_emiss_spc
0,2019-01-01 00:00:00,0.8499131569959362,0.21666666666666667,28.0,555.1846832092547
1,2019-01-01 01:00:00,0.8672938868785548,0.5777777777777778,10.0,542.1271549685815
2,2019-01-01 02:00:00,0.8751980397976117,0.5824074074074074,-4.0,535.5601220209234
3,2019-01-01 03:00:00,0.9143388054593281,0.6138888888888889,-10.0,529.4045358670087
4,2019-01-01 04:00:00,0.9378435004313586,0.5777777777777778,-7.0,528.0961638052065
5,2019-01-01 05:00:00,0.9431397674532471,0.5824074074074074,-13.0,521.9867971874271
6,2019-01-01 06:00:00,0.9481263901981332,0.6138888888888889,-17.0,509.7012507451598
7,2019-01-01 07:00:00,0.946754056920243,0.5777777777777778,-15.0,502.99907664811593
8,2019-01-01 08:00:00,0.9423557712144444,0.5824074074074074,-5.0,503.37916387884735
9,2019-01-01 09:00:00,0.9417937096034942,0.6138888888888889,-6.0,504.8555765664648
10,2019-01-01 10:00:00,0.9502201519643575,0.5777777777777778,-5.0,487.39798481578026
11,2019-01-01 11:00:00,0.9485408901137116,0.5824074074074074,0.0,466.2591647832437
12,2019-01-01 12:00:00,0.9465561638359148,0.6138888888888889,0.0,453.72972921413015
13,2019-01-01 13:00:00,0.9507739267923778,0.5777777777777778,0.0,450.3921612726806
14,2019-01-01 14:00:00,0.9539674311360207,0.5824074074074074,0.0,462.8391192375914
15,2019-01-01 15:00:00,0.9546728830671793,0.6138888888888889,0.0,482.9966083078709
16,2019-01-01 16:00:00,0.9557665897150436,0.5777777777777778,2.0,493.7070810178555
17,2019-01-01 17:00:00,0.955860445375326,0.5824074074074074,9.0,488.1438802508781
18,2019-01-01 18:00:00,0.9559260815287928,0.6138888888888889,0.0,473.4066520205152
19,2019-01-01 19:00:00,0.9559426752095254,0.5777777777777778,-5.0,460.3225328232245
20,2019-01-01 20:00:00,0.9559475852077632,0.5824074074074074,-7.0,448.5997289715156
21,2019-01-01 21:00:00,0.9559545182274999,0.6138888888888889,-25.0,433.6058838375141
22,2019-01-01 22:00:00,0.9559591839251684,0.5777777777777778,-5.0,396.7196950589441
23,2019-01-01 23:00:00,0.6373077894670883,0.5824074074074074,-29.0,385.9642573039354
24,2019-01-02 00:00:00,0.4779811887465965,0.6138888888888889,-34.0,378.32171610923007
25,2019-01-02 01:00:00,0.3186541151931208,0.5777777777777778,-46.0,380.5676753551104
26,2019-01-02 02:00:00,0.7966350504891132,0.5824074074074074,-48.0,376.4402003458042
27,2019-01-02 03:00:00,0.9559612327083441,0.6138888888888889,-45.0,367.6585252182147
28,2019-01-02 04:00:00,0.9559504526374923,0.5777777777777778,-49.0,360.5595431293784
29,2019-01-02 05:00:00,0.9559106110650376,0.5824074074074074,-30.0,361.8238032349896
30,2019-01-02 06:00:00,0.9559562350384531,0.6138888888888889,0.0,362.79266201898355
31,2019-01-02 07:00:00,0.7966257181656439,0.5777777777777778,37.0,367.2231714485861
32,2019-01-02 08:00:00,0.9558705619071689,0.5824074074074074,48.0,373.00884582950266
33,2019-01-02 09:00:00,0.9558594758736967,0.6138888888888889,51.0,385.0805494254236
34,2019-01-02 10:00:00,0.7966330165653085,0.5777777777777778,48.0,394.42414413309456
35,2019-01-02 11:00:00,0.9559582014645643,0.5824074074074074,44.0,395.65722931368356
36,2019-01-02 12:00:00,0.9559447880160955,0.6138888888888889,41.0,394.7830654502016
37,2019-01-02 13:00:00,0.9559525308504976,0.5777777777777778,45.0,382.4280191312926
38,2019-01-02 14:00:00,0.9559563049878763,0.5824074074074074,50.0,384.8164766720556
39,2019-01-02 15:00:00,0.9559387573717731,0.6138888888888889,54.0,400.4096065040926
40,2019-01-02 16:00:00,0.9559353330478885,0.5777777777777778,56.0,412.12760803991
41,2019-01-02 17:00:00,0.9559189812365462,0.5824074074074074,57.0,419.21498906044764
42,2019-01-02 18:00:00,0.9558247670590058,0.6138888888888889,62.0,410.0757516023812
43,2019-01-02 19:00:00,0.9559126772537937,0.5777777777777778,62.0,405.0940390930297
44,2019-01-02 20:00:00,0.7966209881767137,0.5824074074074074,58.0,385.83070774316394
45,2019-01-02 21:00:00,0.9558208178559108,0.6138888888888889,56.0,380.0100260808434
46,2019-01-02 22:00:00,0.7965481529086208,0.5777777777777778,55.0,377.40684697181086
47,2019-01-02 23:00:00,0.9559468209790308,0.5824074074074074,51.0,366.9344507045409
48,2019-01-03 00:00:00,0.9559313377098131,0.6138888888888889,43.0,360.14157324751454
49,2019-01-03 01:00:00,0.9559109340560376,0.5777777777777778,45.0,362.26385993196453
50,2019-01-03 02:00:00,0.9559221342079519,0.5824074074074074,46.0,365.8351042185797
51,2019-01-03 03:00:00,0.9559207676173553,0.6138888888888889,44.0,367.5658855872284
52,2019-01-03 04:00:00,0.9559129821148252,0.5777777777777778,44.0,375.13988541563396
53,2019-01-03 05:00:00,0.9559467891443321,0.5824074074074074,46.0,382.5975840310052
54,2019-01-03 06:00:00,0.9558871825184245,0.6138888888888889,51.0,376.65716368969214
55,2019-01-03 07:00:00,0.9553667204858982,0.5777777777777778,53.0,378.4763640210738
56,2019-01-03 08:00:00,0.9415550118999478,0.5824074074074074,63.0,374.48080433724516
57,2019-01-03 09:00:00,0.9305421584860625,0.6138888888888889,60.0,381.5368730016896
58,2019-01-03 10:00:00,0.892264683605963,0.5777777777777778,58.0,394.1584798581236
59,2019-01-03 11:00:00,0.8358602138342129,0.5824074074074074,63.0,396.01473662878396
60,2019-01-03 12:00:00,0.8553982452652767,0.6138888888888889,64.0,402.0068771232556
